<UNK> 1.0	sil
ಪೂರಕ 1.0	p uu r k 
ಪ್ರದೇಶದಿಂದ 1.0	p eu r d ee sh d i q d 
ವಿಸರ್ಜಕ 1.0	w i s r eu j k 
ಪ್ರದೇಶಗಳೆಡೆಗೆ 1.0	p eu r d ee sh g lx e dx e g e 
ಹರಿಯುತ್ತದೆ 1.0	h r i y u t eu t d e 
ಎಂಟ್ನೂರು 1.0	e q tx eu n uu r u 
ಮೀಟರ್‌ಗಳಲ್ಲಿ 1.0	m ii tx r eu g lx l eu l i 
ತತ್ತ್ವಜ್ಞರು 1.0	t t eu t eu w j eu nj r u 
ಜಗತ್ತಿನ 1.0	j g t eu t i n 
ಸತ್ಯತೆ 1.0	s t eu y t e 
ಮಿಥ್ಯತೆಗಳನ್ನು 1.0	m i th eu y t e g lx n eu n u 
ವಿಮರ್ಶಿಸುವಾಗ 1.0	w i m r eu sh i s u w aa g 
ಜಗತ್ತಿನಲ್ಲಿರುವ 1.0	j g t eu t i n l eu l i r u w 
ಸತ್ಯವಾವುದು 1.0	s t eu y w aa w u d u 
ಅದಕ್ಕೆ 1.0	a d k eu k e 
ಅಗತ್ಯ 1.0	a g t eu y 
ತರಬೇತಿ 1.0	t r b ee t i 
ವ್ಯವಸ್ಥೆ 1.0	w eu y w s eu th e 
ಮಾಡಿದರು 1.0	m aa dx i d r u 
ಶಾಖೆಯ 1.0	sh aa kh e y 
ಕಾಯಿದೆ 1.0	k aa y i d e 
ಹೆಸರಿಗೆ 1.0	h e s r i g e 
ವೇಳೆಯಲ್ಲಿನ 1.0	w ee lx e y l eu l i n 
ಭೂಮಿಯ 1.0	bh uu m i y 
ಬೆಳಕಿರುವ 1.0	b e lx k i r u w 
ಬ್ಯಾಟರಿಗಳನ್ನು 1.0	b eu y aa tx r i g lx n eu n u 
ಪುನರಾವೇಶಿಸಲಾಗುತ್ತದೆ 1.0	p u n r aa w ee sh i s l aa g u t eu t d e 
ಮಾರುಕಟ್ಟೆ 1.0	m aa r u k tx eu tx e 
ವಿಸ್ತರಣೆ 1.0	w i s eu t r nx e 
ಮಾರುಕಟ್ಟೆಗಳನ್ನು 1.0	m aa r u k tx eu tx e g lx n eu n u 
ವಿಸ್ತರಿಸುತ್ತದೆ 1.0	w i s eu t r i s u t eu t d e 
ಭೌಗೋಳಿಕ 1.0	bh au g ii i k 
ವಿಶೇಷತೆ 1.0	w i sh ee sx t e 
ಕ್ರಮ 1.0	k eu r m 
ವಿಭಜನೆ 1.0	w i bh j n e 
ಎಲ್ಲಾ 1.0	e l eu l aa 
ದೇಶಗಳು 1.0	d ee sh g lx u 
ಒಂದೇ 1.0	o q d ee 
ರೀತಿಯ 1.0	r ii t i y 
ಹವಗುಣ 1.0	h w g u nx 
ವಾಯುಗುಣ 1.0	w aa y u g u nx 
ಹೊಂದಿರುವುದಿಲ್ಲ 1.0	h o q d i r u w u d i l eu l 
ರಾಂಪ್‌ನಲ್ಲಿ 1.0	r aa q p eu n l eu l i 
ಬಲಕ್ಕೆ 1.0	b l k eu k e 
ತಿರುಗಿ 1.0	t i r u g i 
ಮಾಗಿದ 1.0	m aa g i d 
ಹಣ್ಣುಗಳನ್ನು 1.0	h nx eu nx u g lx n eu n u 
ಕಿತ್ತು 1.0	k i t eu t u 
ಹಣ್ಣಿನಮೇಲೆ 1.0	h nx eu nx i n m ee l e 
ಹಣ್ಣು 1.0	h nx eu nx u 
ಬೀಳದಂತೆ 1.0	b ii lx d q t e 
ಎಚ್ಚರಿಕೆಯಿಂದ 1.0	e c eu c r i k e y i q d 
ಮರದ 1.0	m r d 
ತಟ್ಟೆಯಲ್ಲಿಡುತ್ತಾರೆ 1.0	t tx eu tx e y l eu l i dx u t eu t aa r e 
ನಿಲ್ದಾಣದ 1.0	n i l eu d aa nx d 
ಜೋಡಣಾ 1.0	j ii nx aa 
ಯೋಜನೆಗಳಿಗೆ 1.0	y ii n e g lx i g e 
ತಾತ್ಕಾಲಿಕ 1.0	t aa t eu k aa l i k 
ತಡೆಯೊಡ್ಡಿತು 1.0	t dx e y o dx eu dx i t u 
ವ್ಯವಹಾರದಿಂದ 1.0	w eu y w h aa r d i q d 
ಸಂಭವಿಸಬಹುದಾದ 1.0	s q bh w i s b h u d aa d 
ಲಾಭನಷ್ಟಗಳಿಗೂ 1.0	l aa bh n sx eu tx g lx i g uu 
ಸಂಸ್ಥೆಯೇ 1.0	s q s eu th e y ee 
ಪುರ್ಣವಾಗಿ 1.0	p u r eu nx w aa g i 
ಹೊಣೆಯಾಗಿದೆ 1.0	h o nx e y aa g i d e 
ರೀತಿ 1.0	r ii t i 
ಚಳಿಗಾಲದ 1.0	c lx i g aa l d 
ಜವೆಗೋದಿಯ 1.0	j w e g ii i y 
ತಳಿಯ 1.0	t lx i y 
ಮೊಳೆಯುತ್ತಿರುವ 1.0	m o lx e y u t eu t i r u w 
ಬೀಜಗಳನ್ನು 1.0	b ii j g lx n eu n u 
ನೀರಿನ 1.0	n ii r i n 
ಆವಿಯಿದ್ದರೆ 1.0	aa w i y i d eu d r e 
ದೃಢತೆಯನ್ನು 1.0	d rq dxh t e y n eu n u 
ಕಳೆದುಕೊಳ್ಳುವುದರಿಂದ 1.0	k lx e d u k o lx eu lx u w u d r i q d 
ಅವುಗಳ 1.0	a w u g lx 
ಉಪಯೋಗ 1.0	u p y ii 
ಕಾಗದಗಳನ್ನು 1.0	k aa g d g lx n eu n u 
ಅಂಟಿಸಲು 1.0	a q tx i s l u 
ಆದರೂ 1.0	aa d r uu 
ಅಂದಾಜನ್ನು 1.0	a q d aa j n eu n u 
ಅಪೋಲೋ 1.0	a p ii oo 
ಪ್ರೋಗ್ರಾಂ 1.0	p eu r ii eu r aa q 
ಆಧಾರದ 1.0	aa dh aa r d 
ಮಾಡಲಾಗಿದ್ದು 1.0	m aa dx l aa g i d eu d u 
ಫ್ರೆಂಚ್ 1.0	txh r e q c eu 
ಜರ್ಮನ್ 1.0	j r eu m n eu 
ಮಾರ್ಕ್ಸ್ 1.0	m aa r eu k eu s eu 
ವಾದಿಗಳು 1.0	w aa d i g lx u 
ಸ್ಥಾಪನೆಯ 1.0	s eu th aa p n e y 
ಕಾಲದಲ್ಲಿ 1.0	k aa l d l eu l i 
ಪ್ರಭಾವಶಾಲಿಗಳಾಗಿದ್ದರು 1.0	p eu r bh aa w sh aa l i g lx aa g i d eu d r u 
ಪಾತ್ರ 1.0	p aa t eu r 
ಹಾಗು 1.0	h aa g u 
ಜವಾಬ್ದಾರಿಗಳಿಗೆ 1.0	j w aa b eu d aa r i g lx i g e 
ಅನುಸಾರವಾಗಿ 1.0	a n u s aa r w aa g i 
ಅನ್ವಯಗಳನ್ನು 1.0	a n eu w y g lx n eu n u 
ಮಾಡಬಹುದು 1.0	m aa dx b h u d u 
ಪದ್ದತಿಯಲ್ಲಿ 1.0	p d eu d t i y l eu l i 
ವ್ಯಾಜ್ಯದವರು 1.0	w eu y aa j eu y d w r u 
ತಮಗೆ 1.0	t m g e 
ಬೇಕಾದ 1.0	b ee k aa d 
ನ್ಯಾಯಾಧೀಶರನ್ನು 1.0	n eu y aa y aa dh ii sh r n eu n u 
ನಾಮಸೂಚಕ 1.0	n aa m s uu c k 
ಕೂಡಿಸು 1.0	k uu dx i s u 
ಅವುಗಳನ್ನು 1.0	a w u g lx n eu n u 
ಅಲ್ಲಿನ 1.0	a l eu l i n 
ಅಡುಗೆ 1.0	a dx u g e 
ಮನೆಯಲ್ಲಿ 1.0	m n e y l eu l i 
ಬೇಯಿಸುತ್ತಾರೆ 1.0	b ee y i s u t eu t aa r e 
ಅಂಗಾಂಶ 1.0	a q g aa q sh 
ಇಂಜಿನಿಯರಿಂಗ್ 1.0	i q j i n i y r i q g eu 
ಈಗ 1.0	ii g 
ಎದುರಿಸುತ್ತಿರುವ 1.0	e d u r i s u t eu t i r u w 
ಮುಖ್ಯ 1.0	m u kh eu y 
ಸವಾಲು 1.0	s w aa l u 
ಏನೆಂದರೆ 1.0	ee n e q d r e 
ಇನ್ನೂ 1.0	i n eu n uu 
ಹೆಚ್ಚಿನ 1.0	h e c eu c i n 
ಕಾರ್ಯನಿರ್ವಹಣೆಯನ್ನು 1.0	k aa r eu y n i r eu w h nx e y n eu n u 
ಹೊಂದುವಂತಹುದ್ದಾಗಬೇಕಾಗಿದೆ 1.0	h o q d u w q t h u d eu d aa g b ee k aa g i d e 
ಪಟ್ಟಿಯ 1.0	p tx eu tx i y 
ಮಾನದಂಡ 1.0	m aa n d q dx 
ಅಂಕ 1.0	a q k 
ಅಂಗೀಕೃತ 1.0	a q g ii k rq t 
ಪದ್ಧತಿಯಲ್ಲಿ 1.0	p d eu dh t i y l eu l i 
ಬಳಸಲಾಗುತ್ತದೆ 1.0	b lx s l aa g u t eu t d e 
ಗುಣಮಟ್ಟದ 1.0	g u nx m tx eu tx d 
ಕೆಲಸ 1.0	k e l s 
ಲೆಕ್ಕ 1.0	l e k eu k 
ಏನು 1.0	ee n u 
ಚರ್ಚೆಗೆ 1.0	c r eu c e g e 
ಅವಕಾಶ 1.0	a w k aa sh 
ಅಂಜದೀವ್ನ 1.0	a q j d ii w eu n 
ಬಳಿ 1.0	b lx i 
ಜಲನೌಕೆಗಳು 1.0	j l n au k e g lx u 
ಹೋದಾಗ 1.0	h ii aa g 
ಪೋರ್ಚುಗೀಸ್ 1.0	p ii eu c u g ii s eu 
ಪಡೆಗಳು 1.0	p dx e g lx u 
ಶರಣಾಗತವಾದವು 1.0	sh r nx aa g t w aa d w u 
ಅಂತಹ 1.0	a q t h 
ತುಣುಕುಗಳು 1.0	t u nx u k u g lx u 
ಸ್ವತಃ 1.0	s eu w t hq 
ತಮ್ಮನ್ನು 1.0	t m eu m n eu n u 
ಬೃಹತ್ 1.0	b rq h t eu 
ಗೋಡೆಗಳು 1.0	g ii e g lx u 
ಏಕಶಿಲೆಗಳಾಗಿ 1.0	ee k sh i l e g lx aa g i 
ಪ್ರಸ್ತುತ 1.0	p eu r s eu t u t 
ಪಡಿಸುತ್ತವೆ 1.0	p dx i s u t eu t w e 
ಹತ್ತಿಯನ್ನು 1.0	h t eu t i y n eu n u 
ಬೆಳೆದು 1.0	b e lx e d u 
ಎಲ್ಲವನ್ನೂ 1.0	e l eu l w n eu n uu 
ಹೊರದೇಶಗಳಿಗೆ 1.0	h o r d ee sh g lx i g e 
ರಫ್ತು 1.0	r txh t u 
ಮಾಡುತ್ತಾರೆ 1.0	m aa dx u t eu t aa r e 
ಇಂಥ 1.0	i q th 
ಶಿಲೆಗಳಲ್ಲಿ 1.0	sh i l e g lx l eu l i 
ವೇಳೆ 1.0	w ee lx e 
ಬಿರುಕುಗಳಿರುವುದರಿಂದ 1.0	b i r u k u g lx i r u w u d r i q d 
ನೆಲದಾಳಕ್ಕೆ 1.0	n e l d aa lx k eu k e 
ಇಳಿಯುತ್ತದೆ 1.0	i lx i y u t eu t d e 
ಅಂತರ್ಜಾಲಗಳು 1.0	a q t r eu j aa l g lx u 
ಬಳಕೆದಾರನ 1.0	b lx k e d aa r n 
ಉದ್ದೇಶದ 1.0	u d eu d ee sh d 
ಅವಲಂಬಿತವಾಗಿರುವುದರಿಂದ 1.0	a w l q b i t w aa g i r u w u d r i q d 
ನೀವು 1.0	n ii w u 
ಯಾರೊಂದಿಗೆ 1.0	y aa r o q d i g e 
ಮುಖಾಮುಖಿ 1.0	m u kh aa m u kh i 
ಮಾಡುತ್ತಿರುವಿರೆಂದು 1.0	m aa dx u t eu t i r u w i r e q d u 
ನಿಮಗೆ 1.0	n i m g e 
ನಿರ್ದಿಷ್ಟವಾಗಿ 1.0	n i r eu d i sx eu tx w aa g i 
ತಿಳಿದಿರುತ್ತದೆ 1.0	t i lx i d i r u t eu t d e 
ಭಾರತೀಯ 1.0	bh aa r t ii y 
ಬಾಂಧವರನ್ನು 1.0	b aa q dh w r n eu n u 
ವಶದಲ್ಲಿದ್ದ 1.0	w sh d l eu l i d eu d 
ಇನ್ನುಳಿದ 1.0	i n eu n u lx i d 
ವಸಾಹತುಗಳನ್ನು 1.0	w s aa h t u g lx n eu n u 
ಭಾರತ 1.0	bh aa r t 
ಹೇಗೆ 1.0	h ee g e 
ಮುಕ್ತಿಗೊಳಿಸಿತೆಂಬುದು 1.0	m u k eu t i g o lx i s i t e q b u d u 
ಇಂದಿನ 1.0	i q d i n 
ಇತಿಹಾಸಕ್ಕೆ 1.0	i t i h aa s k eu k e 
ಸೇರಿಕೊಂಡಿರುವ 1.0	s ee r i k o q dx i r u w 
ವಿಷಯ 1.0	w i sx y 
ಸಮಯಸಾಧಕ 1.0	s m y s aa dh k 
ಮುಂದಾಳುಗಳು 1.0	m u q d aa lx u g lx u 
ಅಂತಾರಾಷ್ಟ್ರೀಯದ 1.0	a q t aa r aa sx eu tx eu r ii y d 
ಕಡೆಯ 1.0	k dx e y 
ವರ್ಷಗಳಲ್ಲಿ 1.0	w r eu sx g lx l eu l i 
ಸಮಾಜವಾದಿ 1.0	s m aa j w aa d i 
ತತ್ತ್ವವನ್ನು 1.0	t t eu t eu w w n eu n u 
ಕೈಬಿಟ್ಟು 1.0	k ai b i tx eu tx u 
ಬೂಜರ್್ವ 1.0	b uu j r eu eu w 
ಸುಧಾರಣಾ 1.0	s u dh aa r nx aa 
ನೀತಿಗೆ 1.0	n ii t i g e 
ಮಾರುಹೋಗಿ 1.0	m aa r u h ii i 
ಕ್ರಾಂತಿಕಾರಿ 1.0	k eu r aa q t i k aa r i 
ನೀತಿಯನ್ನು 1.0	n ii t i y n eu n u 
ಮೊಟಕು 1.0	m o tx k u 
ಹಂಚಿಕೆಯನ್ನು 1.0	h q c i k e y n eu n u 
ಹಲವಾರು 1.0	h l w aa r u 
ವಿಧಾನಗಳಲ್ಲಿ 1.0	w i dh aa n g lx l eu l i 
ಭಾರತದಲ್ಲಿ 1.0	bh aa r t d l eu l i 
ವ್ಯವಸಾಯ 1.0	w eu y w s aa y 
ಕ್ಷೇತ್ರದಲ್ಲಿ 1.0	k eu sx ee t eu r d l eu l i 
ಬಹಳವಾಗಿ 1.0	b h lx w aa g i 
ಉಪಯೋಗಿಸುತ್ತಾರೆ 1.0	u p y ii i s u t eu t aa r e 
ವ್ಯವಸ್ಥಾಪಕ 1.0	w eu y w s eu th aa p k 
ನಿರ್ದೇಶಕರನ್ನು 1.0	n i r eu d ee sh k r n eu n u 
ನಿರ್ಧರಿಸುವ 1.0	n i r eu dh r i s u w 
ಕಾರ್ಯನಿರ್ವಾಹಕ 1.0	k aa r eu y n i r eu w aa h k 
ಆಯ್ಕೆ 1.0	aa y eu k e 
ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ 1.0	k aa r eu tx e l eu l u g lx l eu l i 
ವಿಧ 1.0	w i dh 
ಅಂತರಿಕ್ಷ 1.0	a q t r i k eu sx 
ಪ್ರದೇಶದಲ್ಲಿ 1.0	p eu r d ee sh d l eu l i 
ಬಗೆಯ 1.0	b g e y 
ಹಾರಾಡಬಹುದೆಂಬುದನ್ನು 1.0	h aa r aa dx b h u d e q b u d n eu n u 
ನಿಗದಿ 1.0	n i g d i 
ಮಾಡಿದ್ದಾರೆ 1.0	m aa dx i d eu d aa r e 
ಅದು 1.0	a d u 
ಸ್ಪಷ್ಟವಾದ 1.0	s eu p sx eu tx w aa d 
ರೈಲ್ವೆ 1.0	r ai l eu w e 
ಅಂಗುತ್ತರವೆಂದರೆ 1.0	a q g u t eu t r w e q d r e 
ಇನ್ನೊಂದು 1.0	i n eu n o q d u 
ಅಂಗವೆಂದರ್ಥ 1.0	a q g w e q d r eu th 
ಸ್ವೀಕರಣಾ 1.0	s eu w ii k r nx aa 
ವಿಭಾಗವು 1.0	w i bh aa g w u 
ಅಸ್ತವ್ಯಸ್ತಗೊಂಡಿರಬಹುದಾದ 1.0	a s eu t w eu y s eu t g o q dx i r b h u d aa d 
ಸಾಧ್ಯತೆಗಳಿವೆ 1.0	s aa dh eu y t e g lx i w e 
ಸ್ತನಿಗಳ 1.0	s eu t n i g lx 
ಅಂಡದಲ್ಲಿ 1.0	a q dx d l eu l i 
ಭಂಡಾರ 1.0	bh q dx aa r 
ಎಲ್ಲೆಡೆ 1.0	e l eu l e dx e 
ಸಮವಾಗಿ 1.0	s m w aa g i 
ಹರಡಿದೆ 1.0	h r dx i d e 
ಅಂದಿನಿಂದ 1.0	a q d i n i q d 
ಅತ್ಯಗತ್ಯವಾಗಿದೆ 1.0	a t eu y g t eu y w aa g i d e 
ಅದಲ್ಲದೇ 1.0	a d l eu l d ee 
ವಿಮಲಾ 1.0	w i m l aa 
ಕಾಲೇಜಿನಿಂದ 1.0	k aa l ee j i n i q d 
ಪದವಿ 1.0	p d w i 
ಪಡೆದುಕೊಂಡರು 1.0	p dx e d u k o q dx r u 
ಶಕ್ತಿ 1.0	sh k eu t i 
ಉಪಯುಕ್ತ 1.0	u p y u k eu t 
ಯಾಂತ್ರಿಕ 1.0	y aa q t eu r i k 
ರಾಸಾಯನಿಕ 1.0	r aa s aa y n i k 
ಶಕ್ತಿಯು 1.0	sh k eu t i y u 
ಪರಿವರ್ತಿಸುತ್ತದೆ 1.0	p r i w r eu t i s u t eu t d e 
ಇದಕ್ಕೆ 1.0	i d k eu k e 
ಸಂಬಂಧಪಟ್ಟ 1.0	s q b q dh p tx eu tx 
ವಿಷಯಗಳು 1.0	w i sx y g lx u 
ಘಟಕಗಳ 1.0	gh tx k g lx 
ಮಾಲೀಕತ್ವ 1.0	m aa l ii k t eu w 
ಸಮೂಹದಲ್ಲಿರುವ 1.0	s m uu h d l eu l i r u w 
ದ್ವೀಪಗಳು 1.0	d eu w ii p g lx u 
ಅಂಡಮಾನ್ 1.0	a q dx m aa n eu 
ನಿಕೋಬಾರ್ 1.0	n i k ii aa r eu 
ದ್ವೀಪ 1.0	d eu w ii p 
ಸಮೂಹ 1.0	s m uu h 
ಹೆಸರಿನಲ್ಲಿ 1.0	h e s r i n l eu l i 
ಕೇಂದ್ರಾಧೀನ 1.0	k ee q d eu r aa dh ii n 
ಪ್ರದೇಶವಾಗಿ 1.0	p eu r d ee sh w aa g i 
ಭಾರತಕ್ಕೆ 1.0	bh aa r t k eu k e 
ಸೇರಿವೆ 1.0	s ee r i w e 
ವಿಜ್ಞಾನಿಗಳು 1.0	w i j eu nj aa n i g lx u 
ಪರಮಾಣು 1.0	p r m aa nx u 
ಮಾಪಕದ 1.0	m aa p k d 
ಬಲಗಳ 1.0	b l g lx 
ಅಪರೂಪವಾಗಿ 1.0	a p r uu p w aa g i 
ಚರ್ಚಿಸಿದ್ದಾರೆ 1.0	c r eu c i s i d eu d aa r e 
ಒಣಗಿಸುವ 1.0	o nx g i s u w 
ಪದ್ಧತಿ 1.0	p d eu dh t i 
ದೇಶದಲ್ಲಿ 1.0	d ee sh d l eu l i 
ರೀತಿಯಾಗಿದೆ 1.0	r ii t i y aa g i d e 
ಐಪಿ 1.0	ai p i 
ಯಾವುದೇ 1.0	y aa w u d ee 
ಸಂಪರ್ಕರಹಿತ 1.0	s q p r eu k r h i t 
ಶಿಷ್ಟಾಚಾರ 1.0	sh i sx eu tx aa c aa r 
ವಾಗಿದೆ 1.0	w aa g i d e 
ಹೋಗಿ 1.0	h ii i 
ಕಪ್ಪೆಯ 1.0	k p eu p e y 
ಮೊಟ್ಟೆಯ 1.0	m o tx eu tx e y 
ರಚನೆ 1.0	r c n e 
ಬಹಳ 1.0	b h lx 
ಸರಳ 1.0	s r lx 
ಸೇರಿಸಲಾದ 1.0	s ee r i s l aa d 
ಗುಪ್ತ 1.0	g u p eu t 
ಮಾಹಿತಿಯನ್ನು 1.0	m aa h i t i y n eu n u 
ವ್ಯಕ್ತಿಗಳ 1.0	w eu y k eu t i g lx 
ಗುಟ್ಟಿನ 1.0	g u tx eu tx i n 
ಸಂವಹನದ 1.0	s q w h n d 
ಮಾಧ್ಯಮವಾಗಿ 1.0	m aa dh eu y m w aa g i 
ಬಳಸಲೂ 1.0	b lx s l uu 
ಸಹ 1.0	s h 
ಸಾಧ್ಯವಿದೆ 1.0	s aa dh eu y w i d e 
ಪ್ರಪಂಚದ 1.0	p eu r p q c d 
ಚಳವಳಿಯ 1.0	c lx w lx i y 
ನಿರ್ದೇಶನದ 1.0	n i r eu d ee sh n d 
ಭಾರವನ್ನು 1.0	bh aa r w n eu n u 
ಹೊತ್ತಿದ್ದ 1.0	h o t eu t i d eu d 
ಇಪ್ಪತ್ತನಾಲ್ಕು 1.0	i p eu p t eu t n aa l eu k u 
ವರ್ಷಗಳ 1.0	w r eu sx g lx 
ಅವಧಿಯಲ್ಲಿ 1.0	a w dh i y l eu l i 
ಮೂರನೆ 1.0	m uu r n e 
ಸಮಾಜವಾದಪರವಾದ 1.0	s m aa j w aa d p r w aa d 
ರಾಷ್ಟ್ರಗಳನ್ನು 1.0	r aa sx eu tx eu r g lx n eu n u 
ನಿರ್ಮಾಣಮಾಡಿದೆ 1.0	n i r eu m aa nx m aa dx i d e 
ಸಂಭವವು 1.0	s q bh w w u 
ಎದುರಾದಾಗ 1.0	e d u r aa d aa g 
ದೀಪದೀಪೋಳ್ಗೆ 1.0	d ii p d ii p ii eu g e 
ಗಟ್ಟಿಯಾಗಿ 1.0	g tx eu tx i y aa g i 
ಕೂಗುವುದರ 1.0	k uu g u w u d r 
ಎಚ್ಚರಿಕೆ 1.0	e c eu c r i k e 
ಕೊಟ್ಟುಕೊಂಡು 1.0	k o tx eu tx u k o q dx u 
ಹಾದಿ 1.0	h aa d i 
ಹಿಡಿಯುತ್ತಾರೆ 1.0	h i dx i y u t eu t aa r e 
ಸಂದರ್ಭಗಳಲ್ಲಿ 1.0	s q d r eu bh g lx l eu l i 
ಚರ್ಮದಮೇಲೆ 1.0	c r eu m d m ee l e 
ಹಾಲು 1.0	h aa l u 
ಬಿದ್ದರೆ 1.0	b i d eu d r e 
ಗಂದೆ 1.0	g q d e 
ಗುಳ್ಳೆಗಳಾಗುತ್ತದೆ 1.0	g u lx eu lx e g lx aa g u t eu t d e 
ಅಮೆರಿಕದ 1.0	a m e r i k d 
ಮಾಯ 1.0	m aa y 
ಜನಾಂಗ 1.0	j n aa q g 
ಅಲ್ಪಾವಧಿ 1.0	a l eu p aa w dh i 
ಚಲನೆಗಾಗಿ 1.0	c l n e g aa g i 
ನೀಡಿರುವ 1.0	n ii dx i r u w 
ನಿರ್ಧಿಷ್ಟ 1.0	n i r eu dh i sx eu tx 
ಸಂದರ್ಭದಲ್ಲಿ 1.0	s q d r eu bh d l eu l i 
ರಸ್ತೆಯಲ್ಲಿನ 1.0	r s eu t e y l eu l i n 
ಗುಂಪೊಂದರಿಂದ 1.0	g u q p o q d r i q d 
ಅನಿರೀಕ್ಷಿತ 1.0	a n i r ii k eu sx i t 
ತೊಡಕು 1.0	t o dx k u 
ಸಂಭವಿಸಿ 1.0	s q bh w i s i 
ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ 1.0	a s eu t i t eu w d l eu l i r u w 
ಸರ್ಕಾರವೇ 1.0	s r eu k aa r w ee 
ಉರುಳಬಹುದು 1.0	u r u lx b h u d u 
ನಿಶ್ಚಿತವಾದ 1.0	n i sh eu c i t w aa d 
ಸಹಯೋಗದ 1.0	s h y ii d 
ಖಾತರಿಯು 1.0	kh aa t r i y u 
ಸಿಕ್ಕಿರುವಂತೆ 1.0	s i k eu k i r u w q t e 
ತೋರುತ್ತದೆ 1.0	t ii u t eu t d e 
ಸ್ಕೋರಿಂಗ್ 1.0	s eu k ii i q g eu 
ನೋಡುತ್ತಾರೆ 1.0	n ii u t eu t aa r e 
ವಿದ್ಯಾರ್ಥಿಗಳು 1.0	w i d eu y aa r eu th i g lx u 
ಕೋಳಿ 1.0	k ii i 
ಮೊಟ್ಟೆಮೊಟ್ಟೆಯ 1.0	m o tx eu tx e m o tx eu tx e y 
ಆಲ್ಬ್ಯೂಮಿನ್ 1.0	aa l eu b eu y uu m i n eu 
ಚಿಪ್ಪಿನ 1.0	c i p eu p i n 
ಹೊದಿಕೆ 1.0	h o d i k e 
ಚಿಪ್ಪುಗಳು 1.0	c i p eu p u g lx u 
ಕ್ವಾಂಟೀಕರಣದ 1.0	k eu w aa q tx ii k r nx d 
ನೀರುಗುರುತುಗಳು 1.0	n ii r u g u r u t u g lx u 
ಕಡಿಮೆ 1.0	k dx i m e 
ಮಟ್ಟದ 1.0	m tx eu tx d 
ಸ್ಫುಟತ್ವಕ್ಕೆ 1.0	s eu txh tx t eu w k eu k e 
ಎಡೆಕೊಡುತ್ತವೆಯಾದರೂ 1.0	e dx e k o dx u t eu t w e y aa d r uu 
ನೈಋತ್ಯಕ್ಕೆ 1.0	n ai eu y k eu k e 
ಸಾಗಿ 1.0	s aa g i 
ವಾಯುಮಂಡಲದ 1.0	w aa y u m q dx l d 
ರಕ್ಷಣೆಯಿಲ್ಲದೆಯೇ 1.0	r k eu sx nx e y i l eu l d e y ee 
ಗಗನಯಾತ್ರಿಗಳನ್ನು 1.0	g g n y aa t eu r i g lx n eu n u 
ಕಾಸ್ಮಿಕ್ 1.0	k aa s eu m i k eu 
ಕಿರಣಗಳ 1.0	k i r nx g lx 
ಏಕಪ್ರಕಾರದ 1.0	ee k p eu r k aa r d 
ಪ್ರಸರಣದಿಂದ 1.0	p eu r s r nx d i q d 
ಹೊರಬರುವ 1.0	h o r b r u w 
ಅಧಿಕ 1.0	a dh i k 
ವಿಕಿರಣಕ್ಕೆ 1.0	w i k i r nx k eu k e 
ಒಡ್ಡಲಾಗುತ್ತದೆ 1.0	o dx eu dx l aa g u t eu t d e 
ಹಾನಿಕಾರಕ 1.0	h aa n i k aa r k 
ಮಾರ್ಪಾಡುಗಳನ್ನು 1.0	m aa r eu p aa dx u g lx n eu n u 
ಪತ್ತೆಹಚ್ಚಲು 1.0	p t eu t e h c eu c l u 
ಅರೆದುರ್ಬಲವಾದ 1.0	a r e d u r eu b l w aa d 
ನೀರುಗುರುತುಗಳನ್ನು 1.0	n ii r u g u r u t u g lx n eu n u 
ಆಗ್ನೇಯಕ್ಕೆ 1.0	aa g eu n ee y k eu k e 
ಗಡಿಪ್ರದೇಶಗಳು 1.0	g dx i p eu r d ee sh g lx u 
ಪ್ರದೇಶಗಳಾದ್ಯಂತ 1.0	p eu r d ee sh g lx aa d eu y q t 
ಹಣದ 1.0	h nx d 
ಸರಕುಗಳು 1.0	s r k u g lx u 
ಐವತ್ತು 1.0	ai w t eu t u 
ಅಡಿಗಳಲ್ಲಿ 1.0	a dx i g lx l eu l i 
ಬಟವಾಡೆ 1.0	b tx w aa dx e 
ಮಾಡುವ 1.0	m aa dx u w 
ತಾಣದ 1.0	t aa nx d 
ಅಂಕೆಗಳನ್ನು 1.0	a q k e g lx n eu n u 
ವಿಳಾಸದ 1.0	w i lx aa s d 
ಪ್ರಾಥಮಿಕ 1.0	p eu r aa th m i k 
ದ್ವಿತೀಯಕ 1.0	d eu w i t ii y k 
ಸಂಖ್ಯೆಯನ್ನು 1.0	s q kh eu y e y n eu n u 
ಆಧರಿಸಿ 1.0	aa dh r i s i 
ಲೆಕ್ಕಾಚಾರ 1.0	l e k eu k aa c aa r 
ಹಾಕಲಾಗುತ್ತದೆ 1.0	h aa k l aa g u t eu t d e 
ಅಂಜು 1.0	a q j u 
ಯುನೈಟೆಡ್ 1.0	y u n ai tx e dx eu 
ಸ್ಟೇಟ್ಸ್ 1.0	s eu tx ee tx eu s eu 
ಅನ್ನು 1.0	a n eu n u 
ಬಾಹ್ಯಾಕಾಶ 1.0	b aa h eu y aa k aa sh 
ಪರಿಶೋಧನೆಯ 1.0	p r i sh ii n e y 
ನಾಯಕನೆಂದು 1.0	n aa y k n e q d u 
